source,target,year
17. Politics by Other Means: Imagining Violence in Early American History,Nicole Eustace ,2008
17. Politics by Other Means: Imagining Violence in Early American History,John Smolenski ,2008
17. Politics by Other Means: Imagining Violence in Early American History,David J. Dzurec,2008
1790s New York: The Writings of Ann Julian Hatton,Robb Haberman ,2008
1790s New York: The Writings of Ann Julian Hatton,Catherine O,2008
1790s Pennsylvania,Kenneth Owen ,2008
19. The Politics of Myth Making in the Early Republic,Mark R. Cheathem,2008
19. The Politics of Myth Making in the Early Republic,William Kerrigan ,2008
19. The Politics of Myth Making in the Early Republic,Richard Samuelson ,2008
19. The Politics of Myth Making in the Early Republic,John Quist,2008
"2. Remembering the Revolution: Symbols, Myths and Reputations",Gretchen A. Adams,2008
"2. Remembering the Revolution: Symbols, Myths and Reputations",Emily Lewis ,2008
"2. Remembering the Revolution: Symbols, Myths and Reputations",Patricia Roeser ,2008
"2. Remembering the Revolution: Symbols, Myths and Reputations",Robert Parkinson,2008
20. Practicing History in the Town Square,Sharon Ann Holt ,2008
21. Where is Labor History of the Early Republic,Alexis McCrossen ,2008
21. Where is Labor History of the Early Republic,Leslie M. Harris,2008
21. Where is Labor History of the Early Republic,Seth Rockman ,2008
23. Internal Improvements and Agricultural Innovation: The Domestication,Eric Stoykovich ,2008
23. Internal Improvements and Agricultural Innovation: The Domestication,Courtney Fullilove ,2008
23. Internal Improvements and Agricultural Innovation: The Domestication,John Lauritz Larson,2008
"24. Civil Theatrics: Dress, Plays, and Constitutions",Douglas Harvey ,2008
"24. Civil Theatrics: Dress, Plays, and Constitutions",Kate Haulman ,2008
"24. Civil Theatrics: Dress, Plays, and Constitutions",Stephanie R. Hurter,2008
"24. Civil Theatrics: Dress, Plays, and Constitutions",Eric Slauter,2008
"24. Civil Theatrics: Dress, Plays, and Constitutions",Jane Kamensky ,2008
25. The Political Revealed,Jonathan D. Sassi,2008
25. The Political Revealed,Kirsten Sword ,2008
25. The Political Revealed,Dee E. Andrews,2008
25. The Political Revealed,Karin Wulf,2008
26. The Origins of the Constitution: Beyond Beard,Jane Calvert ,2008
26. The Origins of the Constitution: Beyond Beard,Holly Brewer ,2008
26. The Origins of the Constitution: Beyond Beard,Todd Estes ,2008
26. The Origins of the Constitution: Beyond Beard,Susan Branson ,2008
26. The Origins of the Constitution: Beyond Beard,Leslie Patrick ,2008
26. The Origins of the Constitution: Beyond Beard,William Pencak ,2008
26. The Origins of the Constitution: Beyond Beard,Andrew Shankman,2008
28. Sex and Science in the Early Republic,Brian Connolly ,2008
28. Sex and Science in the Early Republic,Robyn D. McMillin,2008
28. Sex and Science in the Early Republic,Chandos Michael Brown,2008
29. New Perspectives on Print and Politics in the 1790s,Sari Edelstein ,2008
29. New Perspectives on Print and Politics in the 1790s,Fever Outbreak ,2008
29. New Perspectives on Print and Politics in the 1790s,Michelle Orihel ,2008
3. Audiences in the Early American Republic,Lynda K. Yankaskas,2008
3. Audiences in the Early American Republic,Yvette R. Piggush,2008
3. Audiences in the Early American Republic,Natalie D. Spar,2008
3. Audiences in the Early American Republic,Frank Towers,2008
30. Building an Urban Landscape,Ryan K. Smith,2008
30. Building an Urban Landscape,Marion C. Nelson,2008
30. Building an Urban Landscape,Richard S. Chew,2008
30. Building an Urban Landscape,Timothy J. Gilfoyle,2008
"31. Rethinking John Marshall: Slaveholder, Politician, and Speculator",Lindsay Robertson ,2008
"31. Rethinking John Marshall: Slaveholder, Politician, and Speculator",George Van Cleve ,2008
"31. Rethinking John Marshall: Slaveholder, Politician, and Speculator",Bruce H. Mann,2008
"31. Rethinking John Marshall: Slaveholder, Politician, and Speculator",Charles F. Hobson,2008
"32. Maritime Worlds, Racial Myths, and National Identity",Jason Opal ,2008
"32. Maritime Worlds, Racial Myths, and National Identity",Brian Rouleau ,2008
33. Revolutionary Relations: The Saint-Dominguan Influence on Early American,Wendy H. Wong,2008
33. Revolutionary Relations: The Saint-Dominguan Influence on Early American,Ronald A. Johnson,2008
33. Revolutionary Relations: The Saint-Dominguan Influence on Early American,Gautham Rao ,2008
33. Revolutionary Relations: The Saint-Dominguan Influence on Early American,David Barry Gaspar,2008
34. Toppling Statues,Cathy Rodabaugh ,2008
34. Toppling Statues,Kenneth H. Wheeler,2008
34. Toppling Statues,Kanisorn Wongsrichanalai ,2008
34. Toppling Statues,C. Dallett Hemphill,2008
34. Toppling Statues,Michael Morrison ,2008
35. American Civic Identity and Practice in Comparative Perspective,Daniel Kilbride ,2008
35. American Civic Identity and Practice in Comparative Perspective,Amanda Bowie Moniz ,2008
35. American Civic Identity and Practice in Comparative Perspective,Albrecht Koschnik ,2008
35. American Civic Identity and Practice in Comparative Perspective,William Caleb McDaniel,2008
36. SHEAR Mellon Summer Seminar: Identifying and Empowering the Next,Kathryn A. Ostrofsky,2008
36. SHEAR Mellon Summer Seminar: Identifying and Empowering the Next,Jayne Ptolemy ,2008
36. SHEAR Mellon Summer Seminar: Identifying and Empowering the Next,Will Mackintosh ,2008
36. SHEAR Mellon Summer Seminar: Identifying and Empowering the Next,Jennifer E. Schaaf,2008
"37. Demons, Deists, and Fist-Throwing Moral Philanthropists: The Early",Kirsten Fischer ,2008
"37. Demons, Deists, and Fist-Throwing Moral Philanthropists: The Early",Adam Jortner ,2008
"37. Demons, Deists, and Fist-Throwing Moral Philanthropists: The Early",Eric Schlereth ,2008
"37. Demons, Deists, and Fist-Throwing Moral Philanthropists: The Early",Monica Najar,2008
38. Unmasking Discourses of Race: The Bobalition Broadsides and Nationalistic,Corey Capers ,2008
38. Unmasking Discourses of Race: The Bobalition Broadsides and Nationalistic,Which We Appear,2008
38. Unmasking Discourses of Race: The Bobalition Broadsides and Nationalistic,Vindicatory Literature ,2008
38. Unmasking Discourses of Race: The Bobalition Broadsides and Nationalistic,Joseph Eaton ,2008
38. Unmasking Discourses of Race: The Bobalition Broadsides and Nationalistic,Joanne Pope Melish,2008
39. Myths and Realities of a Well-Regulated Society ,Shawn Kimmel ,2008
39. Myths and Realities of a Well-Regulated Society ,Nathan Kozuskanich ,2008
39. Myths and Realities of a Well-Regulated Society ,Kevin Butterfield ,2008
39. Myths and Realities of a Well-Regulated Society ,Birte Britta Pfleger,2008
39. Myths and Realities of a Well-Regulated Society ,Kirsten E. Wood,2008
"4. Mythology, Money, and Manumission: Venture Smith",Anna Mae Duane ,2008
"4. Mythology, Money, and Manumission: Venture Smith",Linda D. Strausbaugh,2008
"4. Mythology, Money, and Manumission: Venture Smith",Anne L. Hiskes,2008
"4. Mythology, Money, and Manumission: Venture Smith",Robert P. Forbes,2008
40 Years,Edward Countryman,2008
40 Years,Robin Einhorn ,2008
40 Years,John M. Murrin,2008
40. Reforming the Revolution: Religion and Politics in the 1790s,Sarah A. Morgan,2008
40. Reforming the Revolution: Religion and Politics in the 1790s,Kathyrn Ashmun Pitrone ,2008
40. Reforming the Revolution: Religion and Politics in the 1790s,Constance B. Schulz,2008
41. Biography and the Politics of Slavery,Padraig Griffin Riley ,2008
41. Biography and the Politics of Slavery,Matthew Mason ,2008
41. Biography and the Politics of Slavery,Seth M. Gates,2008
41. Biography and the Politics of Slavery,Party Lobbyists ,2008
41. Biography and the Politics of Slavery,Corey Brooks ,2008
41. Biography and the Politics of Slavery,Jan Ellen Lewis,2008
42. Friendships and Associations in Antebellum America,Reeve Huston ,2008
42. Friendships and Associations in Antebellum America,Kyle G. Volk,2008
42. Friendships and Associations in Antebellum America,Manisha Sinha,2008
43. Exclusion and Inclusion in the Democratizing Process: New Research on Voting,Jennifer M. Metz,2008
43. Exclusion and Inclusion in the Democratizing Process: New Research on Voting,Paul J. Polgar,2008
43. Exclusion and Inclusion in the Democratizing Process: New Research on Voting,Philip J. Lampi,2008
43. Exclusion and Inclusion in the Democratizing Process: New Research on Voting,Andrew W. Robertson,2008
"44. Rethinking Race and Region in the Old Northwest, 1800-1860",John Craig Hammond ,2008
"44. Rethinking Race and Region in the Old Northwest, 1800-1860",Bridget Ford ,2008
"44. Rethinking Race and Region in the Old Northwest, 1800-1860",Stacey Robertson ,2008
"44. Rethinking Race and Region in the Old Northwest, 1800-1860",Christopher Clark,2008
45. Defining Freedom: Slavery and Emancipation in Early National Philadelphia,John Davies ,2008
45. Defining Freedom: Slavery and Emancipation in Early National Philadelphia,James Alexander Dun ,2008
45. Defining Freedom: Slavery and Emancipation in Early National Philadelphia,Charles R. Foy,2008
45. Defining Freedom: Slavery and Emancipation in Early National Philadelphia,Emma Jones Lapsansky,2008
48 Paragraphs:,Michael J. McManus,2008
48 Paragraphs:,Brook Poston ,2008
48 Paragraphs:,Dan Preston,2008
5. Visualizing American Myths,Karen Kupperman,2008
"6. Double Lives: Sex, Love and Biography",Edith Gelles ,2008
"6. Double Lives: Sex, Love and Biography",Mary S. GoveThomas L. Nichols,2008
"6. Double Lives: Sex, Love and Biography",Patricia Cline Cohen ,2008
"6. Double Lives: Sex, Love and Biography",Martha Hodes ,2008
"6. Double Lives: Sex, Love and Biography",Annette Gordon,2008
"6. Double Lives: Sex, Love and Biography",Rosemarie Zagarri ,2008
"7. Mythic Republic, Global Republic: Misperception, Jacksonian",Elizabeth Kelly Gray ,2008
"7. Mythic Republic, Global Republic: Misperception, Jacksonian",Nicholas P. Trist,2008
"7. Mythic Republic, Global Republic: Misperception, Jacksonian",Amy Van Natter ,2008
"7. Mythic Republic, Global Republic: Misperception, Jacksonian",Steven Heath Mitton ,2008
"7. Mythic Republic, Global Republic: Misperception, Jacksonian",John M. Belohlavek,2008
8. Unmasking Men: How Assumptions about Race and Violence,Kristen Foster ,2008
8. Unmasking Men: How Assumptions about Race and Violence,Black Savages ,2008
8. Unmasking Men: How Assumptions about Race and Violence,Sarah N. Roth,2008
8. Unmasking Men: How Assumptions about Race and Violence,Daniel A. Graff,2008
8. Unmasking Men: How Assumptions about Race and Violence,E. Anthony Rotundo,2008
9. The Culture of Seeing in Antebellum America,Michael Zakim ,2008
9. The Culture of Seeing in Antebellum America,Jasmine Nichole Cobb ,2008
9. The Culture of Seeing in Antebellum America,Ronald J. Zboray,2008
9. The Culture of Seeing in Antebellum America,Jonathan Prude,2008
PLENARY: Untangling the Myths of the American Revolution,Michael A. McDonnell,2008
PLENARY: Untangling the Myths of the American Revolution,Marla R. Miller,2008
PLENARY: Untangling the Myths of the American Revolution,Peter C. Messer,2008
PLENARY: Untangling the Myths of the American Revolution,Sylvia Neely ,2008
PLENARY: Untangling the Myths of the American Revolution,Loretta Valtz Mannucci ,2008
1. Divided Communities on a Middle Ground,Sarah E. Miller,2009
1. Divided Communities on a Middle Ground,Jim Buss,2009
1. Divided Communities on a Middle Ground,Brad Jarvis,2009
1. Divided Communities on a Middle Ground,Daniel Flaherty,2009
1. Divided Communities on a Middle Ground,Patrick Bottiger,2009
1. Divided Communities on a Middle Ground,Sarah E. Miller,2009
"10. Cultural Resistance to Indian Removal, 1830-1860",Linda Clemmons,2009
"10. Cultural Resistance to Indian Removal, 1830-1860",Rowena McClinton,2009
"10. Cultural Resistance to Indian Removal, 1830-1860",Natalie Joy,2009
"10. Cultural Resistance to Indian Removal, 1830-1860",Kathleen Hladky,2009
"10. Cultural Resistance to Indian Removal, 1830-1860",Frederick E. Hoxie,2009
11. Shaping the New Nation,Robert E. Wright,2009
11. Shaping the New Nation,Daniel Mandell,2009
11. Shaping the New Nation,Cheryl Collins,2009
11. Shaping the New Nation,Jonathan M. Chu,2009
11. Shaping the New Nation,Robert E. Wright,2009
12. Parlor and Bedroom Politics: Heterosociability in the Early Republic,Rodney Hessinger,2009
12. Parlor and Bedroom Politics: Heterosociability in the Early Republic,Lucia McMahon,2009
12. Parlor and Bedroom Politics: Heterosociability in the Early Republic,Cassandra Good,2009
12. Parlor and Bedroom Politics: Heterosociability in the Early Republic,Katherine Jorgensen Gray,2009
12. Parlor and Bedroom Politics: Heterosociability in the Early Republic,Charlene M. Boyer Lewis,2009
13. Exploring “Whither the Revolution,Patrick Griffin,2009
13. Exploring “Whither the Revolution,William M. Ferraro,2009
13. Exploring “Whither the Revolution,Sara Martin,2009
13. Exploring “Whither the Revolution,Tom Downey,2009
13. Exploring “Whither the Revolution,Daniel Feller,2009
14. Conceptualizing the Backcountry in the Early Republic,Stephen Aron,2009
14. Conceptualizing the Backcountry in the Early Republic,Gregory Nobles,2009
14. Conceptualizing the Backcountry in the Early Republic,Kim Gruenwald,2009
14. Conceptualizing the Backcountry in the Early Republic,Malcolm J. Rohrbough,2009
14. Conceptualizing the Backcountry in the Early Republic,Daniel J. Richter,2009
15. Women,Patricia C. Cohen,2009
15. Women,Wendy L. Castro,2009
15. Women,Catherine Denial,2009
15. Women,Julie P. Winch,2009
15. Women,Mary Block,2009
15. Women,David T. Konig,2009
15. Women,Patricia C. Cohen,2009
"16. Memory, the Revolution, and the Religious Outsider",John L. Brooke,2009
"16. Memory, the Revolution, and the Religious Outsider",James S. Kabala,2009
"16. Memory, the Revolution, and the Religious Outsider",Adam J. Criblez,2009
"16. Memory, the Revolution, and the Religious Outsider",Gretchen A. Adams,2009
17. “Revolutionary Visions of a Second Founding”: New,Bruce Levine,2009
17. “Revolutionary Visions of a Second Founding”: New,Corey Brooks,2009
17. “Revolutionary Visions of a Second Founding”: New,Brie Swenson Arnold,2009
17. “Revolutionary Visions of a Second Founding”: New,Brian Schoen,2009
17. “Revolutionary Visions of a Second Founding”: New,Elizabeth Varon,2009
18. Not a Nation but an Empire: Another View of the American West,James Lewis,2009
18. Not a Nation but an Empire: Another View of the American West,Daniel P. Glenn,2009
18. Not a Nation but an Empire: Another View of the American West,Stephen A. Martin,2009
18. Not a Nation but an Empire: Another View of the American West,Doug Harvey,2009
18. Not a Nation but an Empire: Another View of the American West,Christopher Morris,2009
1838 Disfranchisement of,Nicholas Wood,2009
1838 Disfranchisement of,Matthew J. Hudock,2009
1838 Disfranchisement of,Margot Minardi,2009
19. Foreign Policy Post 1845,Robert E. May,2009
19. Foreign Policy Post 1845,Kelley Boston Clausing,2009
19. Foreign Policy Post 1845,Christopher Miller,2009
19. Foreign Policy Post 1845,Jeffrey J. Malanson,2009
19. Foreign Policy Post 1845,Kenneth R. Stevens,2009
2. Whither the Evangelical Revolution: New Work in Southern,Mitchell Snay,2009
2. Whither the Evangelical Revolution: New Work in Southern,Charles Irons,2009
2. Whither the Evangelical Revolution: New Work in Southern,Monica Najar,2009
2. Whither the Evangelical Revolution: New Work in Southern,Janet Moore Lindman,2009
2. Whither the Evangelical Revolution: New Work in Southern,Scott M. Stephan,2009
2. Whither the Evangelical Revolution: New Work in Southern,Mitchell Snay,2009
20. The Papers of Abraham Lincoln: Resources for Historians,A. Glenn Crothers,2009
20. The Papers of Abraham Lincoln: Resources for Historians,Stacy Pratt McDermott,2009
20. The Papers of Abraham Lincoln: Resources for Historians,Daniel W. Stowell,2009
20. The Papers of Abraham Lincoln: Resources for Historians,John Hoffmann,2009
21. Citizenship in the Early Republic and the Legacy of the,Douglas Egerton,2009
21. Citizenship in the Early Republic and the Legacy of the,John Reda,2009
22. The Constitution and Stability in the South Carolina Lowcountry,Peter A. Coclanis,2009
22. The Constitution and Stability in the South Carolina Lowcountry,Jonathan Mercantini,2009
22. The Constitution and Stability in the South Carolina Lowcountry,Jennifer S. Goloboy,2009
22. The Constitution and Stability in the South Carolina Lowcountry,Postwar Lowcountry,2009
22. The Constitution and Stability in the South Carolina Lowcountry,Peter N. Moore,2009
22. The Constitution and Stability in the South Carolina Lowcountry,Ellen Hartigan-O,2009
23. Debating the Meaning of the Revolution: Will the Real Revolution,Edward Countryman,2009
23. Debating the Meaning of the Revolution: Will the Real Revolution,Nora Pat Small,2009
23. Debating the Meaning of the Revolution: Will the Real Revolution,Robert J. Gamble,2009
23. Debating the Meaning of the Revolution: Will the Real Revolution,Sarah J. Purcell,2009
23. Debating the Meaning of the Revolution: Will the Real Revolution,Sandy Moats,2009
23. Debating the Meaning of the Revolution: Will the Real Revolution,Matt Mancini,2009
24. The Market Giveth and Taketh Away: Entrepreneurs and Dissenters,Harry L. Watson,2009
24. The Market Giveth and Taketh Away: Entrepreneurs and Dissenters,Stephan Schwartz,2009
24. The Market Giveth and Taketh Away: Entrepreneurs and Dissenters,Thomas H. Cox,2009
24. The Market Giveth and Taketh Away: Entrepreneurs and Dissenters,Joseph H Wycoff,2009
24. The Market Giveth and Taketh Away: Entrepreneurs and Dissenters,Thomas Paine,2009
24. The Market Giveth and Taketh Away: Entrepreneurs and Dissenters,Matteo Battistini,2009
24. The Market Giveth and Taketh Away: Entrepreneurs and Dissenters,John L. Larson,2009
24. The Market Giveth and Taketh Away: Entrepreneurs and Dissenters,Harry L. Watson,2009
25. The Honor Paradigm for the Early Republic: Whither the,James Broussard,2009
25. The Honor Paradigm for the Early Republic: Whither the,Randolph A. Roth,2009
25. The Honor Paradigm for the Early Republic: Whither the,Anne C. Rose,2009
25. The Honor Paradigm for the Early Republic: Whither the,Dickson D. Bruce,2009
25. The Honor Paradigm for the Early Republic: Whither the,Chris Olsen,2009
26. Teaching the Early Republic: A Roundtable,Carol Lasser,2009
26. Teaching the Early Republic: A Roundtable,John Belohlavek,2009
26. Teaching the Early Republic: A Roundtable,Laura McCall,2009
26. Teaching the Early Republic: A Roundtable,John W. Quist,2009
26. Teaching the Early Republic: A Roundtable,Tamara Plakins Thornton,2009
26. Teaching the Early Republic: A Roundtable,Serena Zabin,2009
27. The Culture of Capitalism in Antebellum America: Views from,Stephen Mihm,2009
27. The Culture of Capitalism in Antebellum America: Views from,Kathleen Hilliard,2009
27. The Culture of Capitalism in Antebellum America: Views from,Wendy A. Woloson,2009
27. The Culture of Capitalism in Antebellum America: Views from,Brian P. Luskey,2009
27. The Culture of Capitalism in Antebellum America: Views from,Stephen Mihm,2009
"28. Joseph Smith, the Joseph Smith Papers, and the Mormons",Alex Smith,2009
"28. Joseph Smith, the Joseph Smith Papers, and the Mormons",Mark Ashurst-McGee,2009
"28. Joseph Smith, the Joseph Smith Papers, and the Mormons",Ronald O. Barney,2009
"28. Joseph Smith, the Joseph Smith Papers, and the Mormons",Bryon Andreasen,2009
"28. Joseph Smith, the Joseph Smith Papers, and the Mormons",Glenna Schroeder-Lein,2009
29. Coming to Terms with the Slave Power: Northern Responses to,Marc Egnal,2009
29. Coming to Terms with the Slave Power: Northern Responses to,Robin Einhorn,2009
29. Coming to Terms with the Slave Power: Northern Responses to,Andrew Diemer,2009
29. Coming to Terms with the Slave Power: Northern Responses to,Frank Towers,2009
29. Coming to Terms with the Slave Power: Northern Responses to,Mark Voss-Hubbard,2009
"3. Women Challenging Societal Conventions: Issues of Property,",Craig Thompson Friend,2009
"3. Women Challenging Societal Conventions: Issues of Property,",Andrea Watkins,2009
"3. Women Challenging Societal Conventions: Issues of Property,",Rita Reynolds,2009
"3. Women Challenging Societal Conventions: Issues of Property,",Yvonne M. Pitts,2009
"3. Women Challenging Societal Conventions: Issues of Property,",Lorri M. Glover,2009
30. Women and their Revolution,Anne M. Boylan,2009
30. Women and their Revolution,Carol Faulkner,2009
30. Women and their Revolution,Anne M. Boylan,2009
"31. The Revolutionary Legacy in the 1850s Writings of Melville,",Susan Pearson,2009
"31. The Revolutionary Legacy in the 1850s Writings of Melville,",Brian D. Steele,2009
"31. The Revolutionary Legacy in the 1850s Writings of Melville,",David J. Voelker,2009
"31. The Revolutionary Legacy in the 1850s Writings of Melville,",Frederick Douglass,2009
"31. The Revolutionary Legacy in the 1850s Writings of Melville,",Ethan Kytle,2009
"31. The Revolutionary Legacy in the 1850s Writings of Melville,",Daniel S. Malachuk,2009
"31. The Revolutionary Legacy in the 1850s Writings of Melville,",Adam Tuchinsky,2009
32. Jeanne Boydston Memorial Session,Exploring Multiplicities,2009
32. Jeanne Boydston Memorial Session,Rob Harper,2009
32. Jeanne Boydston Memorial Session,Kathryn Tomasek,2009
32. Jeanne Boydston Memorial Session,Ryan A. Quintana,2009
32. Jeanne Boydston Memorial Session,Hannah Nyala West,2009
32. Jeanne Boydston Memorial Session,Rob Harper,2009
33. Archetypes in Print: Constructing Categories in the Early Republic,William Huntting Howell,2009
33. Archetypes in Print: Constructing Categories in the Early Republic,Konstantin Dierks,2009
33. Archetypes in Print: Constructing Categories in the Early Republic,Sara Babcox First,2009
33. Archetypes in Print: Constructing Categories in the Early Republic,Will Mackintosh,2009
33. Archetypes in Print: Constructing Categories in the Early Republic,William Huntting Howell,2009
34. Unionism and Secession in the North,Stephanie Kermes,2009
34. Unionism and Secession in the North,Christine Dee,2009
34. Unionism and Secession in the North,Timothy M. Jenness,2009
34. Unionism and Secession in the North,Mark W. Summers,2009
"35. Crafting Identities: Gender, Power, and Reform",Edward E. Baptist,2009
"35. Crafting Identities: Gender, Power, and Reform",Amy M. Godfrey,2009
"35. Crafting Identities: Gender, Power, and Reform",Jonathan Nash,2009
"35. Crafting Identities: Gender, Power, and Reform",Evan Lampe,2009
"35. Crafting Identities: Gender, Power, and Reform",Edward E. Baptist,2009
"35. Crafting Identities: Gender, Power, and Reform",Paul R. Gilje,2009
"36. Identity and Reputation on the Southern Frontier, 1780-1820",Mark Cheathem,2009
"36. Identity and Reputation on the Southern Frontier, 1780-1820",Susan Gaunt,2009
"36. Identity and Reputation on the Southern Frontier, 1780-1820",Natalie Inman,2009
"36. Identity and Reputation on the Southern Frontier, 1780-1820",Kristofer Ray,2009
"36. Identity and Reputation on the Southern Frontier, 1780-1820",Mark Cheathem,2009
37. The Domestic Economy and Market Culture of Slavery and Freedom,John Campbell,2009
37. The Domestic Economy and Market Culture of Slavery and Freedom,Carolina Slaves,2009
37. The Domestic Economy and Market Culture of Slavery and Freedom,Erica Bruchko,2009
37. The Domestic Economy and Market Culture of Slavery and Freedom,Candice Harrison,2009
37. The Domestic Economy and Market Culture of Slavery and Freedom,Urban Labor,2009
37. The Domestic Economy and Market Culture of Slavery and Freedom,Katherine Chilton,2009
37. The Domestic Economy and Market Culture of Slavery and Freedom,John Campbell,2009
38. What Makes an Antebellum Democrat,Kay J. Carr,2009
38. What Makes an Antebellum Democrat,Ken Mueller,2009
38. What Makes an Antebellum Democrat,Andrew Jackson,2009
38. What Makes an Antebellum Democrat,Tom Kanon,2009
38. What Makes an Antebellum Democrat,Martin Quitt,2009
38. What Makes an Antebellum Democrat,Graham Peck,2009
39. The Early Republic and the Development of the West,Gene Smith,2009
39. The Early Republic and the Development of the West,His Family,2009
39. The Early Republic and the Development of the West,Thomas Daniel Knight,2009
39. The Early Republic and the Development of the West,Christopher M. Osborne,2009
39. The Early Republic and the Development of the West,Sam W. Haynes,2009
39. The Early Republic and the Development of the West,Ellen Eslinger,2009
4. Lincoln in the Antebellum Decade,James E. Davis,2009
4. Lincoln in the Antebellum Decade,William F. Moore,2009
4. Lincoln in the Antebellum Decade,John A. Lupton,2009
4. Lincoln in the Antebellum Decade,Glenn W. LaFantasie,2009
4. Lincoln in the Antebellum Decade,Richard Striner,2009
4. Lincoln in the Antebellum Decade,James E. Davis,2009
40. The Legal Framework of the West and Its Operation,Linda C. A. Przybyszewski,2009
40. The Legal Framework of the West and Its Operation,Silvana R. Siddali,2009
40. The Legal Framework of the West and Its Operation,Lawrence B. A,2009
40. The Legal Framework of the West and Its Operation,Steven J. Macias,2009
40. The Legal Framework of the West and Its Operation,David J. Bodenhamer,2009
40. The Legal Framework of the West and Its Operation,Linda C. A,2009
41. Reconstructing Empire: Race and Power in the Post-Revolutionary,Andrew Cayton,2009
41. Reconstructing Empire: Race and Power in the Post-Revolutionary,Robert M. Owens,2009
41. Reconstructing Empire: Race and Power in the Post-Revolutionary,Marcus Gallo,2009
41. Reconstructing Empire: Race and Power in the Post-Revolutionary,to Do You,2009
41. Reconstructing Empire: Race and Power in the Post-Revolutionary,Kristopher Maulden,2009
41. Reconstructing Empire: Race and Power in the Post-Revolutionary,Andrew Cayton,2009
42. Extralegal Violence and Rights in the Early Republic,John R. McKivigan,2009
42. Extralegal Violence and Rights in the Early Republic,Michael J. Pfeifer,2009
42. Extralegal Violence and Rights in the Early Republic,New York Courts,2009
42. Extralegal Violence and Rights in the Early Republic,Joshua Stein,2009
42. Extralegal Violence and Rights in the Early Republic,Old Northwest,2009
42. Extralegal Violence and Rights in the Early Republic,Dana Elizabeth Weiner,2009
42. Extralegal Violence and Rights in the Early Republic,Christopher R. Waldrep,2009
43. Middle-Class Identity and Social Mobility in the Antebellum South,Daniel Kilbride,2009
43. Middle-Class Identity and Social Mobility in the Antebellum South,The Lie,2009
43. Middle-Class Identity and Social Mobility in the Antebellum South,Amanda R. Mushal,2009
43. Middle-Class Identity and Social Mobility in the Antebellum South,Jennifer R. Green,2009
43. Middle-Class Identity and Social Mobility in the Antebellum South,Her In TheStation In Which,2009
43. Middle-Class Identity and Social Mobility in the Antebellum South,Gary T. Edwards,2009
43. Middle-Class Identity and Social Mobility in the Antebellum South,Daniel Kilbride,2009
44. Racism in the Republic,Robert P. Forbes,2009
44. Racism in the Republic,Jane Ann Moore,2009
44. Racism in the Republic,Eric Burin,2009
44. Racism in the Republic,Think No Other,2009
44. Racism in the Republic,Tammy K. Byron,2009
44. Racism in the Republic,Chandra Manning,2009
44. Racism in the Republic,Robert P. Forbes,2009
"45. The Continuing Impact of the Enlightenment: American Politics,",Stewart Winger,2009
"45. The Continuing Impact of the Enlightenment: American Politics,",Lily Santoro,2009
"45. The Continuing Impact of the Enlightenment: American Politics,",Richard P. Gildrie,2009
"45. The Continuing Impact of the Enlightenment: American Politics,",J. David Hoeveler,2009
