source,target,year
"2016-PLENARY • A CONVERSATION WITH LINMANUEL MIRANDA, CREATOR OF THE MUSICAL",Ada Ferrer,2016
2011-15. Trading in Contested Terrain: Land Speculation in an Era of,Adam Costanzo,2011
2010-15. Trading in Contested Terrain: Land Speculation in an Era of,Adam Costanzo,2010
2021-30: Nature And Place: Community Building And,Adam Costanzo,2021
"2009-16. Memory, the Revolution, and the Religious Outsider",Adam J. Criblez,2009
2011-5. The American Revolution in Antebellum Memory,Adam J. Criblez,2011
2010-5. The American Revolution in Antebellum Memory,Adam J. Criblez,2010
"2008-37. Demons, Deists, and Fist-Throwing Moral Philanthropists: The Early",Adam Jortner,2008
"2015-19 • MONEY, MIGRATION, AND MAGIC: RELIGIOUS",Adam Jortner,2015
"2017-6 • RELIGION, POLITICS, AND CITIZENSHIP IN THE EARLY",Adam Jortner,2017
2019-48 • RELIGIOUSLY REMEMBERING THE AMERICAN,Adam Jortner,2019
2013-51 • ON THE BORDERS OF MODERNITY: PRODUCING THE,Adam Malka,2013
2015-35 • SETTLERS AND VIGILANTES: VIOLENCE AND THE,Adam Malka,2015
"2019-28 • PRISONERS, POLICING, AND PROFIT: RACE AND",Adam Malka,2019
"2021-The Republic At 40: The Past, Present, And",Adam Mcneil,2021
2022-2: Roundtable: Writing As Righting: Doing,Adam Mcneil,2022
2014-21  PRESIDENT,Adam Nelson,2014
2013-1 • “THERE ARE MEN OF PRINCIPLES IN BOTH PARTIES”:,Adam Pratt,2013
2018-35 • NO SAFE SPACE: EARLY AMERICAN FEARS OF MORAL,Adam Q. Stauffer,2018
2012-CENTRAL STATE,Adam Rothman,2012
"2014-PLENARY: THE HISTORIOGRAPHY OF SLAVERY AND POLITICS,",Adam Rothman,2014
2015-29 • NEW PERSPECTIVES ON WOMEN AND THE SLAVE TRADE,Adam Rothman,2015
1998-1. the Second Middle Passage John Brown Room,Adam Rothman,1998
2004-29. What in the World Was the Early United States? (Salomon 101),Adam Rothman,2004
2006-13. Negotiations of Race and Place in Early New Orleans,Adam Rothman,2006
2007-32. Reopening the Slave Trade in Antebellum America,Adam Rothman,2007
"2018-48 • RESISTANCE, BORDERS, AND THE POLITICS OF",Adam Rowe,2018
2017-27 • ON BEING HUMAN: ALTERNATIVE MEDICINE AND,Adam Shprintzen,2017
"2009-31. The Revolutionary Legacy in the 1850s Writings of Melville,",Adam Tuchinsky,2009
2012-SLAVERYRACEAND POSTCOLONIAL AMERICAN IDENTITIES,Adam Wolkoff,2012
2016-18 • DEFINING THE FAMILY IN THE EARLY AMERICAN,Adam Wolkoff,2016
2022-9: Black Resistance And Black Revolution:,Adam Xavier Mcneil,2022
2014-31  THE CONSTRUCTION OF RADICAL NETWORKS IN THE,Adam-Max Tuchinsky,2014
2018-25 • ROUNDTABLE: TO TRADE OR NOT TO TRADE,Adina Berk,2018
2015-41 • SLAVERY: A STATE OF THE FIELD ROUNDTABLE,Adrienne D. Davis,2015
2003-1. MARBURY v. MADISON: BICENTENNIAL RECONSIDERATIONS,Akhil Reed Amar,2003
2021-56: New Histories Of Black Citizenship: A State-ofthe-field Roundtable,Alaina E. Roberts,2021
"2017-39 • INDIANS, EMPIRE, AND NATION-BUILDING IN THE",Alan Gallay,2017
1996-1. Religion and Frontier Society,Alan Gallay,1996
1998-1. Reconsidering Denmark Vesey,Alan Gallay,1998
1999-1. Shifting Boundaries and Alternative Responses to Expansion,Alan Gallay,1999
"1991-3. Federalists, Republicans, and the",Alan Gibson,1991
1999-1. Reading and Writing in the Early Republic,Alan Golden,1999
2000-10. AGRICULTURE AND REFORM IN THE EARLY,Alan I. Marcus,2000
1985-1. Slavery Attacked and Defended Chair:,Alan Kraut,1985
2009-6. Expansionists and Expatriates: Beyond the Bounds of the Early,Alan Taylor,2009
2009-6. Expansionists and Expatriates: Beyond the Bounds of the Early,Alan Taylor,2009
2011-19. The Early Republic in a Global Economy,Alan Taylor,2011
2013-11 • GRADUATE PREPARATION FOR THE COMING,Alan Taylor,2013
2014-2  ROUNDTABLE: NEW APPROACHES TO THE EARLY,Alan Taylor,2014
2015-15 • A CONVERSATION WITH CLARENCE WALKER ABOUT,Alan Taylor,2015
2016-35 • CAN WE THEORIZE A,Alan Taylor,2016
2017-34 • ROUNDTABLE: WHITHER THE STUDY OF DEMOCRACY,Alan Taylor,2017
2017-40 • LEARNING TO SEE THE PAST: A ROUNDTABLE,Alan Taylor,2017
2018-27 • RETHINKING AMERICA: A ROUNDTABLE IN HONOR OF,Alan Taylor,2018
2010-19. The Early Republic in a Global Economy,Alan Taylor,2010
2010-19. The Early Republic in a Global Economy,Alan Taylor,2010
2010-37. The United States and Hispano-American Independence:,Alan Taylor,2010
1985-1. Studies in Migration: The Late Colonial and Early National Periods Chair:,Alan Taylor,1985
1987-1. Ecology and Ideology in Nineteenth Century,Alan Taylor,1987
1987-1. Ecology and Ideology in Nineteenth Century,Alan Taylor,1987
"1988-1. Economy and Community on the New England Frontier Board Room, Conference Center",Alan Taylor,1988
1990-6. The Frontier in the Early Republic,Alan Taylor,1990
1993-24. The Commercial Frontier in the Early Republic,Alan Taylor,1993
1994-Panel 13: Political Leadership in the New,Alan Taylor,1994
1995-6. ROUNDTABLE DISCUSSION:,Alan Taylor,1995
1995-17. LITERARY BIOGRAPHY: JAMES,Alan Taylor,1995
1996-1. Cultural Politics in the Early National West,Alan Taylor,1996
1997-1. Writing the History of the Early,Alan Taylor,1997
"1999-1. Men, Women, and the Market Economy Room 211",Alan Taylor,1999
2000-20. CULTIVATING ENEMIES: ANGLOPHOBIA AND,Alan Taylor,2000
2001-1. BEYOND THE BORDERS: UPPER CANADA AND MEXICAN CALIFORNIA IN THE ERA,Alan Taylor,2001
2002-1. THE WEST IN THE EARLY REPUBLIC,Alan Taylor,2002
2003-1. VISIONS OF REVOLUTIONARY AND COUNTER-REVOLUTIONARY AMERICA,Alan Taylor,2003
"2004-22. The Limits of the ""Extended Republic"": War, Peace, and American Indians",Alan Taylor,2004
2004-29. What in the World Was the Early United States? (Salomon 101),Alan Taylor,2004
2004-29. What in the World Was the Early United States? (Salomon 101),Alan Taylor,2004
"2006-1. La révolution haïtienne et sa dimension continentale : la diplomatie, la culture, l'idéologie / The Haitian Revolution in a Continental Dimension: Diplomacy, Culture, Ideology",Alan Taylor,2006
1998-1. Art and Culture in Early,Alan Wallach,1998
1998-1. Art and Culture in Early,Alan Wallach,1998
2000-31. MORE STATELY MANSIONS,Alan Wallach,2000
"1981-1. Elections, Sectionalism and Party Strength in the Jacksonian",Albert C. E. Parker,1981
1984-3. Native American History: Communication and Interaction Van Camp East Chair:,Albert Hurtado,1984
2008-35. American Civic Identity and Practice in Comparative Perspective,Albrecht Koschnik,2008
2011-4. New Perspectives on Anti-Abolition in the 1830s,Albrecht Koschnik,2011
2013-13 • THE INS AND OUTS OF RESEARCH AND FELLOWSHIPS,Albrecht Koschnik,2013
"2013-35 • SECRECY, CONSPIRACY, AND SUBTERFUGE IN THE EARLY",Albrecht Koschnik,2013
2016-6 • ORGANIZING DEMOCRACY,Albrecht Koschnik,2016
2010-4. New Perspectives on Anti-Abolition in the 1830s,Albrecht Koschnik,2010
1995-8. THE POLITICAL CULTURE OF,Albrecht Koschnik,1995
1997-1. Politics in the 179os,Albrecht Koschnik,1997
1998-1. Rethinking the Political History of the Early,Albrecht Koschnik,1998
2000-21,Albrecht Koschnik,2000
2002-22. CREATING PROFESSIONAL CULTURES IN THE EARLY REPUBLIC,Albrecht Koschnik,2002
2003-14. INTELLECTUALS AND AMERICAN NATIONALITY,Albrecht Koschnik,2003
2004-4. Civil Society and Civic Culture in the Early Republic:,Albrecht Koschnik,2004
2006-12. Civil Society and Civic Culture in the Antebellum Era,Albrecht Koschnik,2006
2012-OF THE AMERICAN ANTIQUARIAN SOCIETY,Alea Henle,2012
2022-22: Republican Laboratories In The Americas:,Alex Chaparro Silva,2022
2022-25: Avenues Of Resistance And Persistence In The,Alex Colvin,2022
2014-4  SPECTERS OF THE 1790S,Alex Gourevitch,2014
2017-7 • ROUNDTABLE: CROSSING GENDERS AND GENRES IN,Alex Myers,2017
2021-44: Technology And Naval Power In The Early,Alex Roland,2021
"2009-28. Joseph Smith, the Joseph Smith Papers, and the Mormons",Alex Smith,2009
2018-32 • THE INVISIBLE INDIGENOUS MIDWEST: NATIVE,Alex Smith,2018
2021-52: Reflections On 19th-century Inter-american,Alexander Chaparro-Silva,2021
2016-53 • LIEUX DE M,Alexander Macomb,2016
2016-2 • IN THE CITY STREETS OF THE EARLY AMERICAN,Alexander Manevitz,2016
2019-4 • AFRICAN AMERICANS AND THE URBAN NORTH,Alexander Manevitz,2019
2014-53  MADISON THE COMMANDER-IN-CHIEF: INTELLECTUAL,Alexander V. Marriott,2014
2015-29 • NEW PERSPECTIVES ON WOMEN AND THE SLAVE TRADE,Alexandra Finley,2015
"2021-53: Roundtable: Care: A Roundtable On Concepts,",Alexandra Finley,2021
2022-27: From Hucksters And Healers To Wives And,Alexandra Garrett,2022
2017-15 • TRANSNATIONAL SPECULATION AND STATE FORMATION,Alexandra Montgomery,2017
2018-10 • BUILDING STATES AND MAKING EMPIRES IN INDIAN,Alexandra Montgomery,2018
"2018-26 • METAL, MACHINERY, AND MANPOWER: FREE AND",Alexi Garrett,2018
"2019-28 • PRISONERS, POLICING, AND PROFIT: RACE AND",Alexi Garrett,2019
2016-16 • LOOKING BEYOND THE PARLOR,Alexis Boylan,2016
2008-21. Where is Labor History of the Early Republic,Alexis Mccrossen,2008
"2013-12 • ANTI-CATHOLIC AMERICA: CITIZENSHIP, NATIVISM, AND",Alexis Mccrossen,2013
1997-1. Family Violence in the Early,Alexis Mccrossen,1997
1999-1. Greece is the Word: The Hellenic Influence in Antebellum,Alexis Mccrossen,1999
2021-46: Roundtable: Race And Religion: The View From,Alexis Wells-Oghoghomeh,2021
"1994-Panel 23: Between Worlds: Witches, Warriors, and",Alfred A. Cave,1994
2012-LAW IN THE EARLY REPUBLIC,Alfred Brophy,2012
"2001-1. RACE, REVOLUTION, AND REFORM: REDEFINING LEGAL BOUNDARIES OF",Alfred Brophy,2001
2021-39: Roundtable: The Present And Future Histories,Alice Baumgartner,2021
2022-16: The U.S. Army And Slavery: Officers As,Alice Baumgartner,2022
1989-18. Homes of the Heroes: The Challenges of,Alice Eley Jones,1989
2011-36. Placing Children and Childhood in Antebellum Reform,Alice Taylor,2011
2010-36. Placing Children and Childhood in Antebellum Reform,Alice Taylor,2010
"2018-9 • STEAMED UP: SCIENCE, POLITICS, AND POPULAR",Alicia Maggard,2018
2014-54  WOMEN AND PROPERTY IN EARLY AMERICA,Alisa Wade Harrison,2014
2021-40: Thermometer At Sunrise: Digitizing,Alison E. Dolbier,2021
1990-2. Women in Utopia: Gender and Power in Ante,Alison M Parker,1990
2002-15. THE GRIMKE SISTERS A,Alison M Parker,2002
"2021-45: Roundtable On Public History, Today And",Alison Mann,2021
1997-1. Reconsidering Frederick Jackson,Allan Bogue,1997
1997-1. Family Violence in the Early,Allen C. Guelzo,1997
1985-1. Slavery Attacked and Defended Chair:,Allen P. Stouffer,1985
1991-8. The Transformation of Criminal Justice:,Allen Steinberg,1991
2017-32 • SHARED SHAME: ANTEBELLUM RACIAL VIOLENCE,Allison Dorsey,2017
2012-CONSTRUCTING AND CHALLENGING GENDER IDEALS IN,Allison Lange,2012
2013-32 • RACIAL IDENTITIES AND THE FORMATION OF,Allison Lange,2013
2014-27  POLITICAL PICTURES: VISUAL CULTURE AND POLITICS,Allison Lange,2014
2016-16 • LOOKING BEYOND THE PARLOR,Allison Lange,2016
2013-52 • SLAVERY AND FREEDOM ON THE BORDER,Allison Mileo Gorsuch,2013
"2011-21. Progress and Power in State Policy: New York and the Canadas,",Allison O'mahen Malcom,2011
"2010-21. Progress and Power in State Policy: New York and the Canadas,",Allison O'mahen Malcom,2010
2011-53. Contesting Domesticity: Varieties of Women,Alyssa A. Samek,2011
2010-53. Contesting Domesticity: Varieties of Women’s Political Voice in the,Alyssa A. Samek,2010
"2015-47 • DIVERSITY, INCLUSION, CRITIQUE: A ROUNDTABLE OF",Alyssa Mt. Pleasant,2015
2017-35 • COMPLICATED CHOICES AND THEIR CONSEQUENCES:,Alyssa Mt. Pleasant,2017
2010-7. Reconsidering the Iroquois in the Early Republic,Alyssa Mt. Pleasant,2010
2007-18. Indian Sovereignty and American Nation Building: The Fight to Define,Alyssa Mt. Pleasant,2007
2018-32 • THE INVISIBLE INDIGENOUS MIDWEST: NATIVE,Alyssa Zuercher Reichardt,2018
2008-35. American Civic Identity and Practice in Comparative Perspective,Amanda Bowie Moniz,2008
2011-31. New Directions in the Early Republic,Amanda Bowie Moniz,2011
2010-31. New Directions in the Early Republic’s Reform Movements,Amanda Bowie Moniz,2010
2012-GEOGRAPHIES OF U.S. EMPIRE,Amanda Hendrix-Komoto,2012
2010-30. Religious Revivals and the Problem of Marriage,Amanda Hendrix-Komoto,2010
2021-27: Roundtable: The Early Republic And The Pacific,Amanda Hendrix-Komoto,2021
2015-31 • FOOD POLITICS AND GENDER IN THE ANTEBELLUM ERA,Amanda Milian,2015
2018-34 • SOCIABILITY AND MATERIAL CULTURE IN THE EARLY,Amanda Milian,2018
2012-SCIENCE AND MEDICINE,Amanda Moniz,2012
2015-31 • FOOD POLITICS AND GENDER IN THE ANTEBELLUM ERA,Amanda Moniz,2015
"2021-16: Roundtable: Sources, Methods,",Amanda Moniz,2021
"2013-38 • IRRELIGION, RADICAL DEISM, AND THE SHAPE OF EARLY",Amanda Porterfield,2013
2015-42 • CITIZENSHIP AND RELIGIOUS IDENTITY:,Amanda Porterfield,2015
2009-43. Middle-Class Identity and Social Mobility in the Antebellum South,Amanda R. Mushal,2009
2019-53 • TIES THAT BIND AND THREADS THAT UNRAVEL:,Amanda R. Mushal,2019
"2015-7 • DISABILITY, SECULARITY, AND THE BOUNDARIES OF",Amanda Stuckey,2015
2012-CONSTRUCTING AND CHALLENGING GENDER IDEALS IN,Amber Moulton,2012
2010-36. Placing Children and Childhood in Antebellum Reform,Amber Moulton,2010
2022-26: Roundtable: Teaching With The Material,Amber N. Mitchell,2022
"2010-14. Roundtable: What’s New, What’s Next in Masculinity Studies in",Ami Pflugrad-Jackisch,2010
2004-2. Remembering the Revolution: Commemoration and Historic,Ami Pflugrad-Jackisch,2004
2016-2 • IN THE CITY STREETS OF THE EARLY AMERICAN,Amilcar Challu,2016
1997-1. Ethnic Cleansing in the West in,Amy Bushnell,1997
2014-23  ROUNDTABLE: THE POLITICS OF AND IN WOMEN,Amy Dru Stanley,2014
2019-51 • ROUNDTABLE: AT HOME IN THE EARLY REPUBLIC,Amy G. Richter,2019
2011-40. Comparative and Transnational Approaches to the Early,Amy Greenberg,2011
2012-GEOGRAPHIES OF U.S. EMPIRE,Amy Greenberg,2012
2013-13 • THE INS AND OUTS OF RESEARCH AND FELLOWSHIPS,Amy Greenberg,2013
2013-41 • LOBBYING IN THE AGE OF SECTIONALISM,Amy Greenberg,2013
"2014-PLENARY: THE HISTORIOGRAPHY OF SLAVERY AND POLITICS,",Amy Greenberg,2014
2015-5 • WHITE HOUSE PARLOR POLITICS,Amy Greenberg,2015
"2017-18 • BRAVERY, COWARDICE, AND MANHOOD IN THE",Amy Greenberg,2017
2017-45 • TEACHING THE EARLY REPUBLIC IN THE AGE OF TRUMP,Amy Greenberg,2017
2018-20 • REVOLUTIONS ACROSS BORDERS: JACKSONIAN,Amy Greenberg,2018
2018-20 • REVOLUTIONS ACROSS BORDERS: JACKSONIAN,Amy Greenberg,2018
2019-18 • ROUNDTABLE: JOANNE FREEMAN'S THE FIELD OF,Amy Greenberg,2019
2010-40. Comparative and Transnational Approaches to the Early,Amy Greenberg,2010
2010-40. Comparative and Transnational Approaches to the Early,Amy Greenberg,2010
2021-1: President’s Plenary: Black Resistance In The,Amy Greenberg,2021
2021-20: Scholarly Organizations And Diversity,Amy Greenberg,2021
"2022-4: Induced Abortions Before 1860: Publicity, The",Amy Greenberg,2022
1996-1. Masculine Identity,Amy Greenberg,1996
1997-1. Theater Riots: Riots as Theater,Amy Greenberg,1997
1999-1. The Making of Border States:,Amy Greenberg,1999
2001-1. THE CHANGING FACE OF THE,Amy Greenberg,2001
2002-10. DISORDERLY SPACES IN ANTEBELLUM URBAN AMERICA,Amy Greenberg,2002
2003-28. WAS AMERICA BORN IN THE STREETS?,Amy Greenberg,2003
2004-20. The Globalizing Imagination of Antebellum Reform (Salomon 101),Amy Greenberg,2004
2005-1. Gender and Antebellum Political Culture (Franklin Room),Amy Greenberg,2005
"2007-21. A Geo-History of the Early American Republic: Borders, Margins,",Amy Greenberg,2007
2014-56  THE REPUBLICAN COURT REVISITED: TWENTY YEARS,Amy H. Henderson,2014
1996-1. Religion and Frontier Society,Amy H. Sturgis,1996
2013-20 • SCANDAL! CHALLENGING FAMILY AND COMMUNITY,Amy Harris,2013
"2009-35. Crafting Identities: Gender, Power, and Reform",Amy M. Godfrey,2009
2001-1. TEACHING ABOUT WOMEN'S LIVES THROUGH THE WORLD WIDE WEB: A,Amy Murrell,2001
2021-39: Roundtable: The Present And Future Histories,Amy Murrell Taylor,2021
2012-CONSTRUCTING AND CHALLENGING GENDER IDEALS IN,Amy Ritcher,2012
"2007-27. Teaching American History Grants: Transforming Schools, Cultural",Amy Sopcak,2007
"2008-7. Mythic Republic, Global Republic: Misperception, Jacksonian",Amy Van Natter,2008
1990-14. Making Domesticity Work: Black and White,Andrea Balis,1990
2018-53 • RETIREMENT IN THE YOUNG REPUBLIC: OLD AGE IN,Andrea Gray,2018
2013-26 • HUNTING GROUNDS: PURSUING ANIMALS IN THE EARLY,Andrea L. Smalley,2013
2003-19. RE-CONSTITUTING RACE IN ANTEBELLUM NEW ENGLAND,Andrea Shan Johnson,2003
"2009-3. Women Challenging Societal Conventions: Issues of Property,",Andrea Watkins,2009
2002-204,Andres Resendez,2002
2014-40  THE SOUTH AMERICAN QUESTION IN THE EARLY,Andrew B. Fagal,2014
2021-44: Technology And Naval Power In The Early,Andrew B. Fagal,2021
2022-12: A People Armed: Firearms In Antebellum,Andrew B. Fagal,2022
"1988-1. Rural Society and Economy in Transition,",Andrew Baker,1988
2008-12. Jefferson,Andrew Burstein,2008
1993-13. Thomas Jefferson: Self-Expression and Self-Conception,Andrew Burstein,1993
1997-1. From Sentiment to Seduction:,Andrew Burstein,1997
2000-9. DISCIPLINE AND SACRIFICE,Andrew Burstein,2000
2001-1. WRITING TWENTY-FIRST CENTURY BIOGRAPHIES OF GREAT WHITE MEN,Andrew Burstein,2001
2002-23. UNDERSTANDING FOUNDER CHIC OR,Andrew Burstein,2002
2004-7. Congressmen and Their World: Lawmaking and Society in the,Andrew Burstein,2004
"2007-5. On Jefferson, Patriarchal Rage, Slavery and Sentiment—A Roundtable",Andrew Burstein,2007
2009-41. Reconstructing Empire: Race and Power in the Post-Revolutionary,Andrew Cayton,2009
2009-41. Reconstructing Empire: Race and Power in the Post-Revolutionary,Andrew Cayton,2009
"2014-38  EMPLOYING FRIENDS, STRUCTURING FAMILIES, AND",Andrew Cayton,2014
"1991-12. Political Culture, Religion, and Social",Andrew Cayton,1991
1992-18. Evangelical Protestantism on the American,Andrew Cayton,1992
2000-21,Andrew Cayton,2000
2019-38 • INDIAN REMOVAL: A STATE-OF-THE-FIELD,Andrew Denson,2019
2009-29. Coming to Terms with the Slave Power: Northern Responses to,Andrew Diemer,2009
2014-41  NEGOTIATED FREEDOM: AFRICAN AMERICANS,Andrew Diemer,2014
2016-39 • MICROHISTORIES OF RACIAL FORMATION IN THE,Andrew Diemer,2016
2019-39 • ROUNDTABLE: MARTHA JONES' BIRTHRIGHT,Andrew Diemer,2019
"2021-42: Northern Free Labor Ideology, And The Making",Andrew Diemer,2021
2021-43: Money Made American: New Approaches To,Andrew Edwards,2021
2008-14. Power Contests and Multinational Interactions in the Lower South,Andrew Frank,2008
2014-30  NATIVE PEOPLE OF THE SOUTHEAST IN THE EARLY,Andrew Frank,2014
2018-7 • ROUNDTABLE: THE FIRST SEMINOLE WAR AT 200:,Andrew Frank,2018
2015-45 • PECHA-KUCHA,Andrew Hammann,2015
2022-16: The U.S. Army And Slavery: Officers As,Andrew Hargroder,2022
"2006-19. Rethinking Jefferson's Politics, 1800-1815",Andrew J. O'shaughnessy,2006
"2007-9. The People, the Mob, or a Few Persons in Power: Reinterpreting the",Andrew J. O'shaughnessy,2007
2009-38. What Makes an Antebellum Democrat,Andrew Jackson,2009
1999-1. The Making of Border States:,Andrew Lee Feight,1999
1999-1. Shifting Boundaries and Alternative Responses to Expansion,Andrew Mcmichael,1999
2014-9  THE BODY POLITIC AND THE BODILY SELF,Andrew O,2014
2012-HOST: P,Andrew R. L. Cayton,2012
2012-HOSTS: P,Andrew R. L. Cayton,2012
"2013-9 • CITIZENSHIP, COLORISM, AND SEPARATION:",Andrew R. L. Cayton,2013
1984-VI. Community Development in Frontier Ohio Business SPEA,Andrew R. L. Cayton,1984
1988-1. A New Look at the Old Northwest,Andrew R. L. Cayton,1988
1993-24. The Commercial Frontier in the Early Republic,Andrew R. L. Cayton,1993
1995-6. ROUNDTABLE DISCUSSION:,Andrew R. L. Cayton,1995
"1995-15. MURDER, RACE, & SOCIETY",Andrew R. L. Cayton,1995
"1995-15. MURDER, RACE, & SOCIETY",Andrew R. L. Cayton,1995
1996-1. The Enlightenment and its Influence:,Andrew R. L. Cayton,1996
"1999-1. Money, Gender, and Power:",Andrew R. L. Cayton,1999
1996-1. Slavery and Evangelicalism in the South,Andrew S. Moore,1996
1996-1. Law and Politics,Andrew S. Rotter,1996
2016-18 • DEFINING THE FAMILY IN THE EARLY AMERICAN,Andrew Schocket,2016
"2017-53 • THE PUBLIC LANGUAGE OF CLASS IN AMERICA, 1790-",Andrew Schocket,2017
2018-16 • STONES AND BONES: NEGOTIATING MEMORY AND,Andrew Schocket,2018
2019-48 • RELIGIOUSLY REMEMBERING THE AMERICAN,Andrew Schocket,2019
2000-5. CULTIVATING ECONOMIC GROWTH IN THE MID,Andrew Schocket,2000
2004-23. Class: A Useful Category of Analysis for the Early Republic? (Foxboro,Andrew Schocket,2004
2008-26. The Origins of the Constitution: Beyond Beard,Andrew Shankman,2008
"2013-49 • PROPERTY, POLITICS, AND ECONOMICS IN EARLY",Andrew Shankman,2013
2014-40  THE SOUTH AMERICAN QUESTION IN THE EARLY,Andrew Shankman,2014
2015-28 • SPECULATING IN NATIONHOOD: INTELLECTUAL,Andrew Shankman,2015
2018-27 • RETHINKING AMERICA: A ROUNDTABLE IN HONOR OF,Andrew Shankman,2018
2021-60: Shearites Confront Covid,Andrew Shankman,2021
2022-21: Colonial History And National History:,Andrew Shankman,2022
1998-1. The Shaping of a Burgeoning Nation:,Andrew Shankman,1998
"1999-1. Money, Gender, and Power:",Andrew Shankman,1999
"2005-1. Jeffersonian Legacies: Political Economy, Slavery, and Secession in the Twilight of Jefferson's",Andrew Shankman,2005
2007-24. Southern Slavery and the Northern Democrat,Andrew Shankman,2007
2008-43. Exclusion and Inclusion in the Democratizing Process: New Research on Voting,Andrew W. Robertson,2008
"2011-21. Progress and Power in State Policy: New York and the Canadas,",Andrew W. Robertson,2011
2013-22 • THE EARLY PRESIDENCY IN THE AMERICAN PUBLIC,Andrew W. Robertson,2013
2016-20 • DIGITAL HUMANITIES ROUNDTABLE,Andrew W. Robertson,2016
2017-34 • ROUNDTABLE: WHITHER THE STUDY OF DEMOCRACY,Andrew W. Robertson,2017
2018-13 • THE LANGUAGE OF POLITICS AND THE POLITICS OF,Andrew W. Robertson,2018
"2019-2 • ROUNDTABLE: VISUALIZING DEMOCRACY - VOTING,",Andrew W. Robertson,2019
"2010-21. Progress and Power in State Policy: New York and the Canadas,",Andrew W. Robertson,2010
2021-57: Roundtable: Political Structures And The,Andrew W. Robertson,2021
"1987-1. Communication Through Word and Print, Room 1505",Andrew W. Robertson,1987
1996-1. Creating a Culture of Politics,Andrew W. Robertson,1996
1998-1. Rethinking the Political History of the Early,Andrew W. Robertson,1998
2002-9. EMBODIED POLITICS: JEFFREY PASLEY'S THE TYRANNY OF PRINTERS: NEWSPAPER POLITICS IN THE EARLY,Andrew W. Robertson,2002
2003-36. IMAGES AND USES OF NATIONAL LEADERSHIP,Andrew W. Robertson,2003
2006-35. Roundtable: The Rise of American Democracy,Andrew W. Robertson,2006
2007-6. A New Nation Votes: American Electoral Return 1787-1825—sponsored by the,Andrew W. Robertson,2007
2007-11. A New Nation Votes: American Electoral Return 1787-1825-workshop,Andrew W. Robertson,2007
2017-28 • WAR AND MEMORY IN THE EARLY REPUBLIC,Andrew W. Wiley,2017
"2013-9 • CITIZENSHIP, COLORISM, AND SEPARATION:",Andrew Wegmann,2013
2016-53 • LIEUX DE M,Andrew Wegmann,2016
2017-49 • MANHOOD IN BLACK AND WHITE: NEGOTIATING,Andrew Wegmann,2017
2018-37 • CREATING CITIZENSHIP: ESTABLISHING,Andrew Wegmann,2018
"2016-3 • DISEASE, PUBLIC HEALTH, AND CITIZENSHIP",Andrew Wehrman,2016
"2014-33  RELIGION, RACE, AND THE LIMITS OF REFORM",Andrew Witmer,2014
2017-19 • NEW NARRATIVES IN ANTEBELLUM MEDICINE AND,Anelise Shrout,2017
2014-7  AFRICAN AMERICAN INTELLECTUALS AND,Angela F. Murphy,2014
